Temperature;PM2.5;PM10
-1.7;5.5;6.1
-1.7;5.7;6.3
-1.7;5.7;6.3
-1.7;5.7;6.3
-1.9;5.4;6
-1.9;5.4;6
-1.9;5.4;6
-1.9;5.4;6
-1.9;5.4;6
-1.9;5.3;5.9
-2;5.7;6.3
-2;5.7;6.3
-1.9;5.6;6.2
-1.9;5.7;6.3
-1.9;5.7;6.3
-2;5.7;6.3
-2.2;5.6;6.2
-2.1;5.6;6.2
-2.1;5.6;6.2
-2.1;5.6;6.2
-2.2;5.8;6.4
-2.2;5.8;6.4
-2.2;5.8;6.4
-2.2;5.8;6.4
-2.2;5.8;6.4
-2.4;5.7;6.3
-2.5;5.2;5.8
-2.7;5.3;5.9
-2.8;5.3;5.9
-2.8;5.5;6.1
-2.7;5.5;6.1
-2.6;5.4;6
-2.7;5.3;5.9
-2.7;5.4;6
-2.7;5.6;6.2
-2.8;5.6;6.2
-2.8;5.6;6.2
-2.8;5.7;6.3
-2.9;5.6;6.2
-2.8;5.2;5.8
-2.8;5.2;5.8
-2.8;5.4;6
-2.8;5.3;5.9
-2.8;5.2;5.8
-2.8;5.2;5.8
-2.8;5.2;5.8
-2.9;5.3;5.9
-2.9;5.2;5.8
-2.9;5.1;5.7
-2.8;5.1;5.6
-2.8;5.1;5.6
-2.8;5;5.5
-2.8;5;5.5
-2.8;5;5.5
-2.8;5;5.5
-2.8;4.9;5.4
-2.9;5.2;5.8
-2.9;5.2;5.8
-2.9;5.2;5.8
-2.9;5.2;5.8
-2.9;5.2;5.8
-3;5.2;5.8
-3;5.2;5.8
-3.2;5.3;5.9
-3.2;5.3;5.9
-3.3;5.3;5.9
-3.4;5.2;5.8
-3.5;5.3;5.9
-3.5;5.5;6.1
-3.5;5.6;6.2
-3.5;5.6;6.2
-3.7;5.9;6.5
-3.8;6.5;7.1
-3.8;6.5;7.1
-3.8;6.5;7.1
-3.8;6.5;7.1
-4.1;6.6;7.2
-4;6.6;7.2
-4.1;6.5;7.1
-4.1;6.5;7.1
-4.1;6.5;7.1
-4.1;6.6;7.2
-4.2;6.6;7.2
-4.2;6.5;7.1
-4.2;6.6;7.2
-4.3;6.7;7.4
-4.4;7.1;7.8
-4.4;7;7.7
-4.5;6.6;7.2
-4.6;6.7;7.3
-4.6;6.6;7.2
-4.6;6.8;7.5
-4.8;6.8;7.5
-4.9;6.9;7.6
-4.8;6.8;7.5
-4.9;6.7;7.4
-5.1;6.7;7.3
-5.2;6.4;7
-5.2;6.3;6.9
-5.1;6.2;6.8
